id,image_id,category_id,category_name,xmin,ymin,xmax,ymax
0,0,0,General trash,197.6,193.7,547.8,469.7
1,1,3,Metal,0.0,407.4,57.6,180.6
2,1,7,Plastic bag,0.0,455.6,144.6,181.6
3,1,4,Glass,722.3,313.4,274.3,251.9
4,1,5,Plastic,353.2,671.0,233.7,103.4
5,1,5,Plastic,3.7,448.5,778.2,242.0
6,1,0,General trash,425.3,681.9,216.4,179.8
7,1,7,Plastic bag,92.4,601.7,139.2,53.1
8,1,0,General trash,622.4,686.5,72.8,94.2
9,2,3,Metal,267.9,165.2,631.6,513.0
10,3,2,Paper pack,462.2,369.4,233.9,254.6
11,3,6,Styrofoam,773.3,3.0,188.4,428.4
12,4,1,Paper,567.5,462.2,165.2,89.4
13,4,1,Paper,859.4,411.7,164.2,200.9
14,4,1,Paper,362.0,349.7,130.0,251.9
15,4,1,Paper,392.5,348.4,212.0,255.7
16,4,1,Paper,482.2,491.4,277.7,208.5
17,4,0,General trash,868.2,521.7,101.2,44.7
18,5,7,Plastic bag,0.0,148.3,317.0,130.0
19,5,0,General trash,320.0,233.7,182.9,66.5
20,5,0,General trash,297.7,212.6,166.9,61.5
21,5,0,General trash,329.8,203.2,42.7,17.5
22,5,5,Plastic,979.0,173.0,44.7,86.3
23,5,5,Plastic,894.3,425.4,129.4,97.0
24,5,7,Plastic bag,803.6,282.4,82.6,99.3
25,5,7,Plastic bag,489.7,158.0,441.6,163.6
26,5,7,Plastic bag,837.8,263.6,134.1,132.1
27,5,7,Plastic bag,799.8,392.4,163.6,165.8
28,5,7,Plastic bag,631.9,237.2,208.9,354.0
29,5,7,Plastic bag,948.5,0.0,75.2,105.9
30,5,7,Plastic bag,55.5,0.0,961.4,239.0
31,5,1,Paper,68.1,66.5,125.3,38.3
32,5,1,Paper,181.2,70.3,173.4,96.5
33,5,7,Plastic bag,0.0,129.3,333.9,430.2
34,5,1,Paper,60.6,271.2,605.1,467.8
35,5,1,Paper,104.6,278.6,543.5,317.0
36,5,0,General trash,98.5,612.3,69.8,44.4
37,5,1,Paper,495.7,627.6,345.7,321.0
38,5,5,Plastic,925.5,97.3,52.1,70.9
39,5,0,General trash,471.4,422.3,130.0,59.7
40,6,1,Paper,351.7,269.9,398.7,559.1
41,7,9,Clothing,109.0,104.7,751.7,476.9
42,7,9,Clothing,95.4,438.7,708.7,552.4
43,8,6,Styrofoam,51.8,0.0,635.6,395.9
44,8,0,General trash,74.8,258.0,246.2,23.9
45,8,7,Plastic bag,170.3,0.0,415.5,210.5
46,8,7,Plastic bag,0.0,161.8,101.2,662.1
47,8,7,Plastic bag,86.0,0.0,183.2,124.2
48,8,7,Plastic bag,0.0,0.0,192.3,211.6
49,8,7,Plastic bag,44.4,135.9,745.3,750.5
50,9,2,Paper pack,308.4,281.3,404.1,415.8
51,10,0,General trash,377.9,255.0,368.4,278.1
52,11,0,General trash,446.6,445.2,96.8,135.6
53,12,1,Paper,146.0,441.9,775.4,511.0
54,12,1,Paper,274.8,540.1,383.7,139.2
55,12,1,Paper,276.3,334.6,356.3,264.8
56,13,6,Styrofoam,99.9,58.9,139.9,118.1
57,13,7,Plastic bag,746.7,167.6,223.8,252.4
58,13,7,Plastic bag,0.0,0.0,111.1,159.2
59,13,6,Styrofoam,59.3,0.0,181.8,81.0
60,13,7,Plastic bag,629.2,24.9,341.3,253.2
61,13,1,Paper,0.0,159.5,104.3,125.7
62,13,1,Paper,0.0,473.4,301.0,349.7
63,13,1,Paper,0.0,266.9,247.5,242.5
64,13,7,Plastic bag,72.5,112.0,835.0,722.0
65,13,1,Paper,485.2,173.2,65.7,35.6
66,13,3,Metal,325.1,457.7,169.7,130.8
67,13,5,Plastic,484.6,145.8,226.9,274.8
68,13,5,Plastic,572.6,538.9,276.0,173.0
69,13,5,Plastic,136.1,355.0,311.5,113.8
70,13,5,Plastic,459.2,335.2,329.8,207.5
71,13,5,Plastic,611.2,450.0,244.1,166.6
72,14,9,Clothing,586.4,194.4,288.5,645.4
73,14,9,Clothing,158.5,260.7,332.4,595.6
74,14,7,Plastic bag,118.9,0.0,239.0,242.5
75,14,9,Clothing,175.7,97.9,171.7,234.7
76,14,3,Metal,909.2,929.9,66.8,78.9
77,15,6,Styrofoam,844.2,499.5,48.3,101.2
78,15,3,Metal,423.9,390.4,424.1,327.4
79,15,6,Styrofoam,885.6,577.0,71.4,82.6
80,16,6,Styrofoam,306.8,178.8,569.9,610.9
81,17,0,General trash,238.5,273.7,502.7,608.1
82,18,6,Styrofoam,321.7,504.4,556.7,63.0
83,18,6,Styrofoam,341.7,471.1,541.1,81.8
84,18,6,Styrofoam,320.0,348.4,587.5,193.0
85,18,6,Styrofoam,368.8,231.6,422.3,161.8
86,18,7,Plastic bag,309.5,474.7,350.5,293.3
87,18,6,Styrofoam,370.5,166.6,429.4,119.9
88,18,7,Plastic bag,0.0,511.0,490.7,381.0
89,18,6,Styrofoam,440.6,529.5,513.4,494.2
90,18,7,Plastic bag,361.7,257.0,305.4,264.1
91,18,7,Plastic bag,447.0,65.8,305.4,155.4
92,18,3,Metal,737.2,336.8,43.3,64.0
93,19,2,Paper pack,12.2,508.2,67.4,52.6
94,19,7,Plastic bag,580.1,0.8,352.8,208.8
95,19,7,Plastic bag,0.0,0.0,224.2,148.8
96,19,7,Plastic bag,164.2,0.0,540.4,214.3
97,19,7,Plastic bag,0.0,95.5,446.0,421.6
98,19,7,Plastic bag,0.0,321.5,465.6,372.6
99,19,0,General trash,965.1,385.0,58.6,42.2
100,19,3,Metal,224.2,346.7,61.0,35.6
101,19,1,Paper,262.1,355.6,130.7,36.6
102,19,7,Plastic bag,377.6,104.6,646.1,828.4
103,20,7,Plastic bag,254.3,276.6,371.8,314.9
104,21,7,Plastic bag,547.8,0.0,458.2,480.2
105,21,7,Plastic bag,256.8,0.0,301.7,227.2
106,21,7,Plastic bag,581.3,194.7,180.6,383.0
107,21,7,Plastic bag,439.6,130.4,154.4,195.4
108,21,7,Plastic bag,290.8,158.1,190.0,214.3
109,21,7,Plastic bag,290.3,213.3,223.5,371.5
110,21,7,Plastic bag,476.2,266.2,126.0,248.2
111,21,7,Plastic bag,492.4,507.9,193.0,234.3
112,21,7,Plastic bag,283.2,497.4,219.9,354.2
113,21,7,Plastic bag,295.4,119.2,74.7,118.9
114,22,3,Metal,458.5,7.4,176.4,275.0
115,22,3,Metal,59.3,631.9,820.8,292.8
116,23,0,General trash,233.7,341.0,711.4,481.9
117,24,0,General trash,381.3,311.6,405.0,435.3
118,25,0,General trash,280.0,276.6,429.0,334.2
119,26,9,Clothing,153.4,219.1,273.5,770.0
120,26,9,Clothing,406.3,284.1,274.5,714.2
121,27,0,General trash,816.8,96.2,207.0,702.3
122,27,0,General trash,272.3,375.5,731.2,346.8
123,27,5,Plastic,331.2,418.9,272.8,393.8
124,28,0,General trash,516.1,631.2,68.3,62.3
125,28,2,Paper pack,483.0,248.2,212.3,385.7
126,28,5,Plastic,328.6,244.1,126.7,138.2
127,28,0,General trash,175.7,672.5,437.8,83.6
128,29,4,Glass,130.0,586.8,522.2,370.8
129,29,0,General trash,399.6,222.5,48.4,107.0
130,29,4,Glass,171.7,309.8,377.2,261.4
131,29,0,General trash,0.0,3.7,553.7,473.7
132,29,0,General trash,427.3,6.4,263.4,305.8
133,30,0,General trash,125.0,219.9,760.9,482.0
134,31,0,General trash,389.3,0.0,464.8,554.0
135,31,3,Metal,359.6,445.3,358.1,327.4
136,31,0,General trash,748.7,159.5,131.6,176.8
137,32,6,Styrofoam,762.6,398.5,48.4,121.4
138,32,0,General trash,781.2,471.4,22.7,46.0
139,32,7,Plastic bag,332.9,145.8,638.6,257.8
140,32,3,Metal,441.6,186.9,50.8,37.1
141,32,3,Metal,95.8,262.3,55.2,21.3
142,32,7,Plastic bag,158.1,470.6,71.8,133.8
143,32,7,Plastic bag,149.7,658.0,650.5,229.8
144,32,7,Plastic bag,750.1,735.0,62.3,28.2
145,32,5,Plastic,753.4,551.9,138.8,207.5
146,32,0,General trash,819.8,640.8,44.7,29.0
147,32,0,General trash,838.1,616.1,42.7,24.6
148,32,0,General trash,866.2,594.0,68.4,78.7
149,32,7,Plastic bag,207.2,509.0,681.3,375.4
150,32,7,Plastic bag,118.5,220.7,784.3,607.2
151,33,9,Clothing,301.0,199.1,202.8,498.9
